name;lat;lon;coordinate
Москва;55.777671;37.6578;0
Мытищи;55.914916;37.76187;18
Софрино;56.136158;37.930505;45
Пост 81 км;56.371902;38.231964;80
Александров-1;56.398375;38.704308;112
Берендеево;56.596444;39.019781;145
Ростов-Ярославский;57.198008;39.407142;224
Семибратово;57.307106;39.537721;239
Полянки;57.591619;39.833664;277
Ярославль;57.625459;39.835016;282
Филино;57.655873;39.933197;293
Данилов;58.186934;40.186252;356
Любим;58.339321;40.693489;393
Буй;58.466773;41.544958;449
Галич;58.367635;42.344506;500
Антропово;58.398593;43.004783;546
Николо-Полома;58.339747;43.390554;570
Нея;58.293897;43.867623;598
Мантурово;58.333997;44.74273;651
Шарья;58.365571;45.523545;699
Поназырево;58.357790;46.317176;746
Супротивный;58.34602;46.4753;756
Шабалино;58.302363;47.109057;794
Свеча;58.282534;47.507289;817
Котельнич;58.312088;48.343623;869
Марадыковский;58.311617;48.637820;888
Оричи;58.403551;49.054838;915
Киров;58.578169;49.652126;956
Зуевка;58.403189;51.133369;1060
Фалёнки;58.358737;51.592234;1092
Яр;58.248557;52.111179;1126
Глазов;58.140831;52.674206;1163
Балезино;57.973915;53.00472;1192
Чепца;57.890248;53.4147;1223
Кез;57.895558;53.711888;1245
Верещагино;58.079138;54.653891;1314
Майский;58.104727;55.573054;1387
Пермь;58.004786;56.179841;1434
Мулянка;57.808922;56.378418;1466
Кунгур;57.422357;56.993126;1535
Шамары;57.338927;58.218952;1631
Шаля;57.253010;58.724424;1669
Кузино;57.019899;59.444483;1728
Первоуральск;56.905819;59.943214;1771
Хрустальная;56.853332;60.184021;1786
Екатеринбург;56.882169;60.473447;1805
Шарташ;56.830233;60.64601;1819
Исток;56.787957;60.787854;1829
Баженово;56.730859;61.371066;1870
Богданович;56.777585;62.050158;1913
Еланский;56.812808;62.488096;1941
Камышлов;56.848811;62.714582;1957
Пышма;56.950871;63.238553;1997
Талица;57.062287;63.744894;2028
Юшала;57.079840;64.255812;2061
Тугулым;57.058754;64.640474;2078
Тюмень;57.145308;65.522351;2139
Ялуторовск;56.654711;66.312110;2212
Заводоуковская;56.513606;66.541345;2236
Ишим;56.112077;69.511884;2428
Маслянская;55.930112;70.137271;2475
Мангут;55.779672;70.769434;2518
Называевская;55.567709;71.355961;2562
Любинский;55.153767;72.692958;2658
Омск;54.939835;73.386706;2711
Калачинск;55.052584;74.581720;2789
Татарск;55.219476;75.973164;2879
Чаны;55.309172;76.761285;2931
Тебисская;55.341845;77.461288;2979
Барабинск;55.350412;78.341923;3035
Убинское;55.299542;79.685878;3118
Каргат;55.194474;80.282972;3159
Чулым;55.091265;80.963265;3205
Обь;54.995302;82.692850;3319
Новосибирск-Главный;55.030206;82.920340;3343
Болотное;55.672006;84.385447;3461
Юрга;55.713550;84.933839;3491
Тайга;56.065132;85.630870;3565
Анжеро-Судженск;56.083171;86.018128;3596
Яя;56.204405;86.450042;3625
Мариинск;56.206957;87.742263;3713
Тяжинский;56.110710;88.517208;3773
Боготол;56.211102;89.531629;3846
Ачинск;56.269451;90.495001;3914
Новочернореченский;56.268556;91.090834;3954
Козулька;56.165441;91.391937;3979
Красноярск;56.010474;92.852327;4098
Уяр;55.813193;94.328252;4229
Заозёрный;55.961793;94.709180;4264
Новая Солянка;56.005148;95.203752;4298
Канск;56.205027;95.704975;4344
Иланский;56.238557;96.065306;4376
Нижняя Пойма;56.164303;97.203432;4452
Тайшет;55.940446;98.002926;4515
Алзамай;55.555086;98.664347;4586
Нижнеудинск;54.901291;99.026316;4679
Тулун;54.557144;100.577839;4795
Куйтун;54.337826;101.509002;4874
Зима;53.920653;102.048851;4934
Залари;53.553425;102.497051;4989
Черемхово;53.136937;103.090030;5055
Усолье-Сибирское;52.757066;103.637303;5118
Ангарск;52.544371;103.888194;5145
Иркутск;52.289532;104.280517;5185
Шелехов;52.210234;104.097327;5206
Слюдянка;51.656591;103.718823;5311
Байкальск;51.522846;104.149835;
Танхой;51.554467;105.118057;5420
Бабушкин;51.715825;105.864334;5477
Селенга;52.005384;106.862576;5561
Улан-Удэ;51.834790;107.584455;5641
Онохой;51.926703;108.066087;5677
Петровск-Забайкальский;51.276354;108.853579;5784
Бада;51.388719;109.863008;5883
Хилок;51.363406;110.459021;5934
Харагун;51.549972;111.185914;5993
Могзон;51.736827;111.962104;6054
Яблоново;51.841769;112.758938;6119
Чита;52.033649;113.500945;6198
Дарасун;51.650578;113.966853;6264
Карымская;51.624431;114.350160;6295
Урульга;51.768377;114.806247;
Шилка;51.852617;116.032722;6444
Приисковая;51.916899;116.617850;6489
Куэнга;52.068710;117.051152;6526
Чернышевск;52.524753;117.017127;6587
Зилово;53.066192;117.505553;6670
Ксеньевская;53.561138;118.717955;6799
Могоча;53.736211;119.766089;6906
Амазар;53.857888;120.867471;7004
Ерофей Павлович;53.959787;121.954517;7111
Уруша;54.046556;122.882933;7209
Тахтамыгда;54.108772;123.610446;7267
Сковородино;53.987162;123.943618;7306
Талдан;53.691394;124.812402;7400
Магдагачи;53.453523;125.810643;7494
Ушумун;52.783057;126.539711;7602
Шимановск;51.999543;127.676058;7723
Свободный;51.375895;128.134065;7807
Белогорск;50.921282;128.473793;7866
Завитая;50.106533;129.439278;7985
Архара;49.422320;130.087030;8080
Облучье;49.018923;131.053857;8190
Известковый;48.987630;131.547023;8234
Биробиджан;48.789984;132.924594;8351
Смидович;48.594691;133.811058;8422
Хабаровск;48.480276;135.071714;8523
Хор;47.885252;134.957389;8603
Вяземский;47.534979;134.753573;8651
Бикин;46.818602;134.255042;8756
Лучегорск;46.444805;134.303763;8803
Дальнереченск;45.930818;133.731598;8874
Лесозаводск;45.464790;133.398157;8931
Спасск-Дальний;44.597650;132.817495;9048
Сибирцево;44.206200;132.445493;9109
Уссурийск;43.797226;131.952081;9177
Угольная;43.304190;132.060342;9255
Владивосток;43.115531;131.885474;9289
